name,longitude,latitude,altitude,OBJECTID,RAIL_STATIONS_NO,STATION_NAME_EN,STATION_NAME_AR,RAIL_SYSTEM,STATUS,STATION_TYPE,ACTIVE,X_COORDINATE,Y_COORDINATE,COMMUNITY_NAME,LAST_EDITED_DATE,STATION_LOCATION,STATION_LOCATION_AR,STATION_LOCATION_TYPE,STATION_LOCATION_TYPE_AR
kml_41,55.2078980008683,25.126721479561,0.0,12,R31,Equiti,اكويتي,Metro,,,YES,487350.3039,2780097.4725,AL QUOZ IND. THIRD,20-10-2022,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_42,55.4010071120899,25.2548051018846,0.0,30,G11,e&,إي آند,Metro,,E2,YES,506817.5185,2794281.868,AL QUSAIS THIRD,13-09-2024,Green Line(MGrn),أخضر,Elevated,فوق الأرض
kml_43,55.1909310963337,25.1148094968598,0.0,10,R33,InsuranceMarket,سوق التأمين,Metro,,,YES,485637.859,2778779.6219,AL BARSHA FIRST,13-09-2024,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_44,55.3042525286521,25.2548557348481,0.0,21,R19,BurJuman - Red Line, برجمان - الخط الأحمر,Metro,,T,YES,497070.3747,2794286.0764,AL KARAMA,19-09-2023,Red Line(MRed),أحمر,Transmittal,محطة تحويل
kml_45,55.2285087216716,25.1557271261218,0.0,13,R29,ONPASSIVE,اون باسيف,Metro,,,YES,489431.3191,2783308.8028,AL QUOZ IND. FIRST,02-10-2023,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_46,55.3300770562596,25.2543036505002,0.0,24,R16,City Centre Deira ,سيتي سنتر ديرة ,Metro,,U,YES,499671.9584,2794224.6051,PORT SAEED,27-10-2022,Red Line(MRed),أحمر,Underground,تحت الأرض
kml_47,55.332983016961,25.2709038370306,0.0,37,G18,Abu Baker Al Siddique,أبوبكرالصديق,Metro,,E2,YES,499964.7135,2796063.5169,AL KHABAISI,19-09-2023,Green Line(MGrn),أخضر,Elevated,فوق الأرض
kml_48,55.3042525286521,25.2548557348481,0.0,322,G26,BurJuman - Green Line, برجمان  - الخط الأخضر,Metro,,T,YES,497070.3747,2794286.0764,AL KARAMA,19-09-2023,Green Line(MGrn),أحمر,Transmittal,محطة تحويل
kml_49,55.3462675881381,25.2752415849188,0.0,36,G17,Abu Hail,أبوهيل,Metro,,E2,YES,501302.7904,2796544.1022,AL KHABAISI,19-09-2023,Green Line(MGrn),أخضر,Elevated,فوق الأرض
kml_50,55.0910408906585,24.9775243240598,0.0,1,R42,Life Pharmacy,صيدلية لايف,Metro,,E2,YES,475536.0612,2763586.3197,,25-07-2025,Branch Line (MBrch),أحمر,Elevated,فوق الأرض
kml_51,55.1271734502596,25.0578530682143,0.0,5,R38,National Paints,دهانات ناشـونـال,Metro,,,YES,479197.868,2772478.5961,,25-07-2025,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_52,55.1580262856938,25.0889168891867,0.0,8,R35,Al Fardan Exchange,الفردان للصرافة,Metro,,E2,YES,482315.4775,2775915.2803,EMIRATES HILL SECOND,25-07-2025,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_53,55.3139027888539,25.2663356201704,0.0,22,R18,Union - Red Line,الإتحاد - الخط الأحمر,Metro,,T,YES,498042.7343,2795557.6056,AL RIGGA,25-07-2025,Red Line(MRed),أحمر,Transmittal,محطة تحويل
kml_54,55.3400337670553,25.2494971226239,0.0,25,R15,Al Garhoud,القرهود,Metro,,,YES,500675.0371,2793692.1669,AL GARHOUD,25-07-2025,Red Line(MRed),أحمر,Elevated,فوق الأرض
kml_55,55.3615799355074,25.2778021432765,0.0,34,G15,Stadium,الإستاد,Metro,,E2,YES,502845.0522,2796827.9899,AL QUSAIS FIRST,25-07-2025,Green Line(MGrn),أخضر,Elevated,فوق الأرض
kml_56,55.3139027888539,25.2663356201704,0.0,321,G20,Union - Green Line,الاتحاد - الخط الأخضر,Metro,,T,YES,498042.7343,2795557.6056,AL RIGGA,25-07-2025,Green Line(MGrn),أحمر,Transmittal,محطة تحويل
